ProjectName;Filename;Classname;LOC;Visibility;IsMock;Extensions;Implementations;PrivateMethods;ProtectedMethods;PackageMethods;PublicMethods;TotalMethods;IsStaticClass;MethodOverrides
camel;camel/components/camel-aws-ec2/src/test/java/org/apache/camel/component/aws/ec2/AmazonEC2ClientMock.java;AmazonEC2ClientMock;250;public;True;1;0;0;0;0;11;11;False;11
camel;camel/components/camel-aws2-sqs/src/test/java/org/apache/camel/component/aws2/sqs/AmazonSQSClientMock.java;AmazonSQSClientMock;174;public;True;0;1;2;0;0;13;15;False;11
camel;camel/components/camel-undertow/src/test/java/org/apache/camel/component/undertow/spi/AbstractSecurityProviderTest.java;MockSecurityProvider;40;public;True;0;1;0;0;0;4;4;True;4
camel;camel/components/camel-undertow/src/test/java/org/apache/camel/component/undertow/spi/AbstractSecurityProviderTest.java;MockSecurityConfiguration;32;public;True;0;0;0;0;0;6;6;True;0
camel;camel/components/camel-aws-mq/src/test/java/org/apache/camel/component/aws/mq/AmazonMQClientMock.java;AmazonMQClientMock;126;public;True;1;0;0;0;0;19;19;False;19
camel;camel/components/camel-aws2-ddb/src/test/java/org/apache/camel/component/aws2/ddb/AmazonDDBClientMock.java;AmazonDDBClientMock;145;public;True;0;1;2;0;0;13;15;False;13
camel;camel/components/camel-aws-ses/src/test/java/org/apache/camel/component/aws/ses/MockMessage.java;MockMessage;194;public;True;1;0;0;0;0;41;41;False;41
camel;camel/components/camel-aws-ses/src/test/java/org/apache/camel/component/aws/ses/AmazonSESClientMock.java;AmazonSESClientMock;33;public;True;1;0;0;0;0;4;4;False;2
camel;camel/components/camel-github/src/test/java/org/apache/camel/component/github/producer/PullRequestStateProducerTest.java;MockPullRequestStateProducerProcessor;8;public;True;0;1;0;0;0;1;1;False;1
camel;camel/components/camel-github/src/test/java/org/apache/camel/component/github/producer/PullRequestFilesProducerTest.java;MockPullFilesProducerProcessor;8;public;True;0;1;0;0;0;1;1;False;1
camel;camel/components/camel-github/src/test/java/org/apache/camel/component/github/producer/CreateIssueProducerTest.java;MockIssueCreateProducerProcessor;8;public;True;0;1;0;0;0;1;1;False;1
camel;camel/components/camel-github/src/test/java/org/apache/camel/component/github/producer/PullRequestCommentProducerTest.java;MockPullRequestCommentProducerProcessor;8;public;True;0;1;0;0;0;1;1;False;1
camel;camel/components/camel-github/src/test/java/org/apache/camel/component/github/consumer/PullRequestConsumerTest.java;MockPullRequestProcessor;14;public;True;0;1;0;0;0;1;1;False;1
camel;camel/components/camel-github/src/test/java/org/apache/camel/component/github/services/MockRepositoryService.java;MockRepositoryService;26;public;True;1;0;0;0;0;3;3;False;2
camel;camel/components/camel-github/src/test/java/org/apache/camel/component/github/services/MockPullRequestService.java;MockPullRequestService;104;public;True;1;0;1;0;0;8;9;False;5
camel;camel/components/camel-github/src/test/java/org/apache/camel/component/github/services/MockIssueService.java;MockIssueService;39;public;True;1;0;0;0;0;4;4;False;4
camel;camel/components/camel-github/src/test/java/org/apache/camel/component/github/services/MockCommitService.java;MockCommitService;44;public;True;1;0;0;0;0;5;5;False;2
camel;camel/components/camel-splunk/src/test/java/org/apache/camel/component/splunk/Helper.java;MockConnectionSettings;20;package;True;1;0;0;0;0;0;0;False;0
camel;camel/components/camel-splunk/src/test/java/org/apache/camel/component/splunk/Helper.java;MockConnectionFactory;13;package;True;1;0;0;0;0;1;1;False;1
camel;camel/components/camel-aws-sdb/src/test/java/org/apache/camel/component/aws/sdb/AmazonSDBClientMock.java;AmazonSDBClientMock;107;public;True;1;0;0;0;0;10;10;False;10
camel;camel/components/camel-ironmq/src/test/java/org/apache/camel/component/ironmq/MockQueue.java;MockQueue;102;public;True;1;0;0;0;1;8;9;False;8
camel;camel/components/camel-ironmq/src/test/java/org/apache/camel/component/ironmq/IronMQClientMock.java;IronMQClientMock;20;public;True;1;0;0;0;0;1;1;False;1
camel;camel/components/camel-aws-msk/src/test/java/org/apache/camel/component/aws/msk/AmazonMSKClientMock.java;AmazonMSKClientMock;42;public;True;1;0;0;0;0;4;4;False;4
camel;camel/components/camel-aws2-sns/src/test/java/org/apache/camel/component/aws2/sns/AmazonSNSClientMock.java;AmazonSNSClientMock;47;public;True;0;1;0;0;0;6;6;False;6
camel;camel/components/camel-spring/src/test/java/org/apache/camel/component/log/SpringLogMaskTest.java;MockMaskingFormatter;8;public;True;0;1;0;0;0;1;1;True;1
camel;camel/components/camel-spring/src/test/java/org/apache/camel/spring/processor/SpringLogEipMaskTest.java;MockMaskingFormatter;8;public;True;0;1;0;0;0;1;1;True;1
